INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO
11.083991769547325,0.0,0.439,6.115,63.0,6.8147,4.0,243.0,16.8
5.64,0.0,0.439,6.511,21.1,6.8147,4.0,243.0,16.8
5.64,0.0,0.439,5.997999999999998,21.4,6.8147,4.0,243.0,16.8
4.0,0.0,0.41,5.888,47.6,7.3197,3.0,469.0,21.1
1.22,0.0,0.403,7.249,21.9,8.6966,5.0,226.0,17.9
0.74,0.0,0.41,6.382999999999999,35.7,9.1876,2.0,313.0,17.3
1.32,0.0,0.411,6.816,40.5,8.3248,5.0,256.0,15.1
5.13,0.0,0.453,6.145,29.2,7.8148,8.0,284.0,19.7
5.13,0.0,0.453,5.9270000000000005,47.2,6.932,8.0,284.0,19.7
5.13,0.0,0.453,5.7410000000000005,66.2,7.2254,8.0,284.0,19.7
5.13,0.0,0.453,5.966,93.4,6.8185,8.0,284.0,19.7
5.13,0.0,0.453,6.456,67.8,7.2255,8.0,284.0,19.7
5.13,0.0,0.453,6.7620000000000005,43.4,7.9809,8.0,284.0,19.7
1.38,0.0,0.4161,7.104,59.5,9.2229,3.0,216.0,18.6
3.37,0.0,0.398,6.29,17.8,6.6115,4.0,337.0,16.1
3.37,0.0,0.398,5.787000000000001,31.1,6.6115,4.0,337.0,16.1
6.07,0.0,0.409,5.877999999999999,21.4,6.497999999999998,4.0,345.0,18.9
6.07,0.0,0.409,5.5939999999999985,36.8,6.497999999999998,4.0,345.0,18.9
6.07,0.0,0.409,5.885,33.0,6.497999999999998,4.0,345.0,18.9
10.81,0.0,0.413,6.417000000000002,6.6,5.2873,4.0,305.0,19.2
10.81,0.0,0.413,5.961,17.5,5.2873,4.0,305.0,19.2
10.81,0.0,0.413,6.065,7.8,5.2873,4.0,305.0,19.2
10.81,0.0,0.413,6.245,6.2,5.2873,4.0,305.0,19.2
12.83,0.0,0.4370000000000001,6.273,68.51851851851852,4.2515,5.0,398.0,18.7
12.83,0.0,0.4370000000000001,6.2860000000000005,45.0,4.5026,5.0,398.0,18.7
12.83,0.0,0.4370000000000001,6.279,74.5,4.0522,5.0,398.0,18.7
12.83,0.0,0.4370000000000001,6.14,45.8,4.0905,5.0,398.0,18.7
12.83,0.0,0.4370000000000001,6.232,53.7,5.0141,5.0,398.0,18.7
12.83,0.0,0.4370000000000001,5.874,36.6,4.5026,5.0,398.0,18.7
4.86,0.0,0.426,6.727,33.5,5.4007,4.0,281.0,19.0
4.86,0.0,0.426,6.619,70.4,5.4007,4.0,281.0,19.0
4.86,0.0,0.426,6.3020000000000005,32.2,5.4007,4.0,281.0,19.0
4.86,0.0,0.426,6.167000000000002,46.7,5.4007,4.0,281.0,19.0
4.49,0.0,0.449,6.3889999999999985,48.0,4.7794,3.0,247.0,18.5
4.49,0.0,0.449,6.63,56.1,4.4377,3.0,247.0,18.5
4.49,0.0,0.449,6.015,45.1,4.4272,3.0,247.0,18.5
4.49,0.0,0.449,6.121,56.8,3.7476,3.0,247.0,18.5
3.41,0.0,0.489,7.0070000000000014,86.3,3.4217,2.0,270.0,17.8
3.41,0.0,0.489,7.079,63.1,3.4145,2.0,270.0,17.8
3.41,0.0,0.489,6.417000000000002,66.1,3.0923,2.0,270.0,17.8
3.41,0.0,0.489,6.405,73.9,3.0921,2.0,270.0,17.8
15.04,0.0,0.464,6.442,53.6,3.6659,4.0,270.0,18.2
15.04,0.0,0.464,6.211,28.9,3.6659,4.0,270.0,18.2
15.04,0.0,0.464,6.249,77.3,3.615,4.0,270.0,18.2
2.89,0.0,0.445,6.625,57.8,3.4952,2.0,276.0,18.0
2.89,0.0,0.445,6.1629999999999985,69.6,3.4952,2.0,276.0,18.0
2.89,0.0,0.445,8.068999999999999,76.0,3.4952,2.0,276.0,18.0
2.89,0.0,0.445,7.82,36.9,3.4952,2.0,276.0,18.0
2.89,0.0,0.445,7.416,62.5,3.4952,2.0,276.0,18.0
8.56,0.0,0.52,6.727,79.9,2.7778,5.0,384.0,20.9
8.56,0.0,0.52,6.7810000000000015,71.3,2.8561,5.0,384.0,20.9
8.56,0.0,0.52,6.405,85.4,2.7147,5.0,384.0,20.9
8.56,0.0,0.52,6.1370000000000005,68.51851851851852,2.7147,5.0,384.0,20.9
8.56,0.0,0.52,6.167000000000002,90.0,2.421,5.0,384.0,20.9
8.56,0.0,0.52,5.851,96.7,2.1069,5.0,384.0,20.9
8.56,0.0,0.52,5.836,91.9,2.211,5.0,384.0,20.9
8.56,0.0,0.52,6.127000000000002,85.2,2.1224,5.0,384.0,20.9
8.56,0.0,0.52,6.474,97.1,2.4329,5.0,384.0,20.9
8.56,0.0,0.52,6.229,91.2,2.5451,5.0,384.0,20.9
8.56,0.0,0.52,6.195,54.4,2.7778,5.0,384.0,20.9
10.01,0.0,0.547,6.715,81.6,2.6775,6.0,432.0,17.8
10.01,0.0,0.547,5.9129999999999985,92.9,2.3534,6.0,432.0,17.8
10.01,0.0,0.547,6.0920000000000005,95.4,2.548,6.0,432.0,17.8
10.01,0.0,0.547,6.254,84.2,2.2565,6.0,432.0,17.8
10.01,0.0,0.547,5.928,88.2,2.4631,6.0,432.0,17.8
10.01,0.0,0.547,6.176,72.5,2.7301,6.0,432.0,17.8
10.01,0.0,0.547,6.021,82.6,2.7474,6.0,432.0,17.8
10.01,0.0,0.547,5.872000000000001,73.1,2.4775,6.0,432.0,17.8
10.01,0.06995884773662553,0.547,5.731,65.2,2.7592,6.0,432.0,17.8
25.65,0.0,0.581,5.87,69.7,2.2577,2.0,188.0,19.1
25.65,0.0,0.581,6.004,84.1,2.1974,2.0,188.0,19.1
25.65,0.0,0.581,5.961,92.9,2.0869,2.0,188.0,19.1
11.083991769547325,0.0,0.581,5.856,97.0,1.9444,2.0,188.0,19.1
25.65,0.0,0.581,5.879,95.8,2.0063,2.0,188.0,19.1
25.65,0.0,0.581,5.9860000000000015,88.4,1.9929,2.0,188.0,19.1
25.65,0.0,0.581,5.613,68.51851851851852,1.7572,2.0,188.0,19.1
21.89,0.0,0.624,5.693,96.0,1.7883,4.0,437.0,21.2
21.89,0.0,0.624,6.431,98.8,1.8125,4.0,437.0,21.2
21.89,0.0,0.624,5.6370000000000005,94.7,1.9799,4.0,437.0,21.2
21.89,0.0,0.624,6.457999999999998,98.9,2.1185,4.0,437.0,21.2
21.89,0.0,0.624,6.3260000000000005,97.7,2.271,4.0,437.0,21.2
21.89,0.0,0.624,6.372000000000001,97.9,2.3274,4.0,437.0,21.2
11.083991769547325,0.0,0.624,5.822,95.4,2.4699,4.0,437.0,21.2
21.89,0.0,0.624,5.7570000000000014,98.4,2.346,4.0,437.0,21.2
21.89,0.0,0.624,6.335,98.2,2.1107,4.0,437.0,21.2
21.89,0.0,0.624,5.942,93.5,1.9669,4.0,437.0,21.2
21.89,0.0,0.624,6.454,98.4,1.8498,4.0,437.0,21.2
21.89,0.0,0.624,5.857,68.51851851851852,1.6686,4.0,437.0,21.2
21.89,0.0,0.624,6.151,97.9,1.6687,4.0,437.0,21.2
21.89,0.0,0.624,6.174,93.6,1.6119,4.0,437.0,21.2
21.89,0.0,0.624,5.019,100.0,1.4394,4.0,437.0,21.2
19.58,1.0,0.871,5.403,100.0,1.3216,5.0,403.0,14.7
19.58,0.0,0.871,5.468,100.0,1.4118,5.0,403.0,14.7
19.58,0.0,0.871,4.9030000000000005,97.8,1.3459,5.0,403.0,14.7
19.58,0.0,0.871,6.13,100.0,1.4191,5.0,403.0,14.7
19.58,0.0,0.871,5.627999999999999,100.0,1.5166,5.0,403.0,14.7
11.083991769547325,0.0,0.871,4.926,95.7,1.4608,5.0,403.0,14.7
11.083991769547325,0.0,0.871,5.186,93.8,1.5296,5.0,403.0,14.7
19.58,0.0,0.871,5.597,94.9,1.5257,5.0,403.0,14.7
19.58,0.0,0.871,6.122000000000001,68.51851851851852,1.618,5.0,403.0,14.7
19.58,0.0,0.871,5.404,100.0,1.5916,5.0,403.0,14.7
19.58,0.06995884773662553,0.871,5.012,88.0,1.6102,5.0,403.0,14.7
19.58,0.0,0.871,5.709,98.5,1.6232,5.0,403.0,14.7
19.58,1.0,0.871,6.129,96.0,1.7494,5.0,403.0,14.7
19.58,1.0,0.871,6.152,68.51851851851852,1.7455,5.0,403.0,14.7
19.58,0.0,0.871,5.272,94.0,1.7364,5.0,403.0,14.7
19.58,0.0,0.605,6.943,97.4,1.8773,5.0,403.0,14.7
19.58,0.0,0.605,6.066,100.0,1.7573,5.0,403.0,14.7
19.58,0.0,0.871,6.51,100.0,1.7659,5.0,403.0,14.7
19.58,1.0,0.605,6.25,92.6,1.7984,5.0,403.0,14.7
19.58,0.0,0.605,7.489,90.8,1.9709,5.0,403.0,14.7
19.58,1.0,0.605,7.802,98.2,2.0407,5.0,403.0,14.7
19.58,1.0,0.605,8.375,68.51851851851852,2.162,5.0,403.0,14.7
19.58,0.0,0.605,5.854,91.8,2.422,5.0,403.0,14.7
19.58,0.0,0.605,6.101,93.0,2.2834,5.0,403.0,14.7
19.58,0.0,0.605,7.9289999999999985,96.2,2.0459,5.0,403.0,14.7
19.58,0.0,0.605,5.877000000000002,79.2,2.4259,5.0,403.0,14.7
19.58,0.0,0.605,6.319,96.1,2.1,5.0,403.0,14.7
19.58,0.0,0.605,6.402,95.2,2.2625,5.0,403.0,14.7
19.58,0.0,0.605,5.875,94.6,2.4259,5.0,403.0,14.7
19.58,0.0,0.605,5.88,97.3,2.3887,5.0,403.0,14.7
4.05,0.0,0.51,5.572,88.5,2.5961,5.0,296.0,16.6
11.083991769547325,0.0,0.51,6.416,68.51851851851852,2.6463,5.0,296.0,16.6
4.05,0.0,0.51,5.859,68.7,2.7019,5.0,296.0,16.6
4.05,0.0,0.51,6.546,33.1,3.1323,5.0,296.0,16.6
4.05,0.0,0.51,6.02,47.2,3.5549,5.0,296.0,16.6
11.083991769547325,0.0,0.51,6.315,73.4,3.3175,5.0,296.0,16.6
4.05,0.0,0.51,6.86,74.4,2.9153,5.0,296.0,16.6
2.46,0.0,0.488,6.98,58.4,2.829,3.0,193.0,17.8
2.46,0.0,0.488,7.765,83.3,2.741,3.0,193.0,17.8
2.46,0.0,0.488,6.144,62.2,2.5979,3.0,193.0,17.8
2.46,0.0,0.488,7.155,92.2,2.7006,3.0,193.0,17.8
2.46,0.0,0.488,6.563,95.6,2.847,3.0,193.0,17.8
2.46,0.0,0.488,5.604,89.8,2.9879,3.0,193.0,17.8
2.46,0.0,0.488,6.153,68.8,3.2797,3.0,193.0,17.8
2.46,0.0,0.488,7.831,53.6,3.1992,3.0,193.0,17.8
3.44,0.0,0.4370000000000001,6.782,41.1,3.7886,5.0,398.0,15.2
3.44,0.0,0.4370000000000001,6.556,29.1,4.5667,5.0,398.0,15.2
3.44,0.0,0.4370000000000001,7.185,38.9,4.5667,5.0,398.0,15.2
3.44,0.0,0.4370000000000001,6.9510000000000005,21.5,6.4798,5.0,398.0,15.2
3.44,0.0,0.4370000000000001,6.739,30.8,6.4798,5.0,398.0,15.2
3.44,0.0,0.4370000000000001,7.178,26.3,6.4798,5.0,398.0,15.2
2.93,0.0,0.401,6.8,68.51851851851852,6.2196,1.0,265.0,15.6
2.93,0.0,0.401,6.604,18.8,6.2196,1.0,265.0,15.6
0.46,0.0,0.422,7.875,32.0,5.6484,4.0,255.0,14.4
1.52,0.0,0.404,7.287000000000001,34.1,7.309,2.0,329.0,12.6
1.52,0.0,0.404,7.107,36.6,7.309,2.0,329.0,12.6
1.52,0.0,0.404,7.274,38.3,7.309,2.0,329.0,12.6
1.47,0.0,0.403,6.975,15.3,7.6534,3.0,402.0,17.0
1.47,0.0,0.403,7.135,13.9,7.6534,3.0,402.0,17.0
2.03,0.0,0.415,6.162000000000001,38.4,6.27,2.0,348.0,14.7
2.03,0.0,0.415,7.61,15.7,6.27,2.0,348.0,14.7
2.68,0.0,0.4161,7.853,33.2,5.118,4.0,224.0,14.7
2.68,0.0,0.4161,8.033999999999999,31.9,5.118,4.0,224.0,14.7
10.59,0.0,0.489,5.891,22.3,3.9454,4.0,277.0,18.6
10.59,0.06995884773662553,0.489,6.3260000000000005,52.5,4.3549,4.0,277.0,18.6
10.59,0.0,0.489,5.783,72.7,4.3549,4.0,277.0,18.6
10.59,1.0,0.489,6.064,59.1,4.2392,4.0,277.0,18.6
10.59,1.0,0.489,5.3439999999999985,100.0,3.875,4.0,277.0,18.6
10.59,1.0,0.489,5.96,92.1,3.8771,4.0,277.0,18.6
10.59,1.0,0.489,5.404,88.6,3.665,4.0,277.0,18.6
10.59,1.0,0.489,5.807,53.8,3.6526,4.0,277.0,18.6
10.59,0.0,0.489,6.375,32.3,3.9454,4.0,277.0,18.6
10.59,0.0,0.489,5.412000000000001,9.8,3.5875,4.0,277.0,18.6
10.59,0.0,0.489,6.182,68.51851851851852,3.9454,4.0,277.0,18.6
13.89,1.0,0.55,5.888,56.0,3.1121,5.0,276.0,16.4
13.89,0.0,0.55,6.642,85.1,3.4211,5.0,276.0,16.4
13.89,1.0,0.55,5.9510000000000005,93.8,2.8893,5.0,276.0,16.4
11.083991769547325,1.0,0.55,6.372999999999998,92.4,3.3633,5.0,276.0,16.4
6.2,1.0,0.507,6.9510000000000005,88.5,2.8617,8.0,307.0,17.4
6.2,1.0,0.507,6.164,91.3,3.048,8.0,307.0,17.4
6.2,1.0,0.507,6.879,77.7,3.2721,8.0,307.0,17.4
6.2,0.0,0.507,6.6179999999999986,80.8,3.2721,8.0,307.0,17.4
6.2,0.0,0.504,8.266,78.3,2.8944,8.0,307.0,17.4
6.2,0.0,0.504,8.725,83.0,2.8944,8.0,307.0,17.4
6.2,0.0,0.504,8.04,86.5,3.2157,8.0,307.0,17.4
6.2,0.0,0.504,7.1629999999999985,79.9,3.2157,8.0,307.0,17.4
6.2,0.0,0.504,7.686,17.0,3.3751,8.0,307.0,17.4
6.2,0.0,0.504,6.5520000000000005,21.4,3.3751,8.0,307.0,17.4
6.2,0.0,0.504,5.981,68.1,3.6715,8.0,307.0,17.4
6.2,0.0,0.504,7.412000000000001,76.9,3.6715,8.0,307.0,17.4
6.2,0.0,0.507,8.337,73.3,3.8384,8.0,307.0,17.4
6.2,0.0,0.507,8.247,68.51851851851852,3.6519,8.0,307.0,17.4
6.2,1.0,0.507,6.726,66.5,3.6519,8.0,307.0,17.4
6.2,0.0,0.507,6.086,61.5,3.6519,8.0,307.0,17.4
6.2,1.0,0.507,6.631,76.5,4.148,8.0,307.0,17.4
6.2,0.0,0.507,7.358,71.6,4.148,8.0,307.0,17.4
4.93,0.0,0.428,6.481,18.5,6.1899,6.0,300.0,16.6
4.93,0.0,0.428,6.606,42.2,6.1899,6.0,300.0,16.6
4.93,0.06995884773662553,0.428,6.897,54.3,6.3361,6.0,300.0,16.6
4.93,0.0,0.428,6.095,65.1,6.3361,6.0,300.0,16.6
4.93,0.0,0.428,6.358,52.9,7.0355,6.0,300.0,16.6
4.93,0.0,0.428,6.393,7.8,7.0355,6.0,300.0,16.6
5.86,0.0,0.431,5.593,76.5,7.9549,7.0,330.0,19.1
11.083991769547325,0.06995884773662553,0.431,5.605,70.2,7.9549,7.0,330.0,19.1
5.86,0.0,0.431,6.108,34.9,8.0555,7.0,330.0,19.1
5.86,0.0,0.431,6.226,79.2,8.0555,7.0,330.0,19.1
5.86,0.0,0.431,6.433,49.1,7.8265,7.0,330.0,19.1
5.86,0.0,0.431,6.718,17.5,7.8265,7.0,330.0,19.1
5.86,0.0,0.431,6.487,13.0,7.3967,7.0,330.0,19.1
5.86,0.0,0.431,6.438,8.9,7.3967,7.0,330.0,19.1
5.86,0.0,0.431,6.957000000000002,6.8,8.9067,7.0,330.0,19.1
5.86,0.0,0.431,8.259,8.4,8.9067,7.0,330.0,19.1
3.64,0.06995884773662553,0.392,6.108,32.0,9.2203,1.0,315.0,16.4
3.64,0.0,0.392,5.876,19.1,9.2203,1.0,315.0,16.4
3.75,0.0,0.394,7.454,34.2,6.3361,3.0,244.0,15.9
3.97,0.0,0.647,8.704,86.9,1.801,5.0,264.0,13.0
3.97,0.0,0.647,7.332999999999998,100.0,1.8946,5.0,264.0,13.0
3.97,0.0,0.647,6.8420000000000005,100.0,2.0107,5.0,264.0,13.0
3.97,0.0,0.647,7.2029999999999985,81.8,2.1121,5.0,264.0,13.0
3.97,0.0,0.647,7.52,89.4,2.1398,5.0,264.0,13.0
3.97,0.0,0.647,8.398,91.5,2.2885,5.0,264.0,13.0
3.97,0.0,0.647,7.327000000000001,94.5,2.0788,5.0,264.0,13.0
3.97,0.0,0.647,7.206,91.6,1.9301,5.0,264.0,13.0
3.97,0.0,0.647,5.56,62.8,1.9865,5.0,264.0,13.0
3.97,0.0,0.647,7.0139999999999985,84.6,2.1329,5.0,264.0,13.0
3.97,0.0,0.575,8.297,67.0,2.4216,5.0,264.0,13.0
3.97,0.0,0.575,7.47,52.6,2.872,5.0,264.0,13.0
6.96,1.0,0.464,5.92,61.5,3.9175,3.0,223.0,18.6
6.96,0.0,0.464,5.856,42.1,4.4289999999999985,3.0,223.0,18.6
6.96,0.0,0.464,6.24,16.3,4.4289999999999985,3.0,223.0,18.6
6.96,0.0,0.464,6.5379999999999985,58.7,3.9175,3.0,223.0,18.6
6.96,1.0,0.464,7.691,51.8,4.3665,3.0,223.0,18.6
6.41,1.0,0.447,6.757999999999999,32.9,4.0776,4.0,254.0,17.6
6.41,0.0,0.447,6.854,42.8,4.2673,4.0,254.0,17.6
6.41,1.0,0.447,7.267,49.0,4.7872,4.0,254.0,17.6
6.41,1.0,0.447,6.8260000000000005,27.6,4.8628,4.0,254.0,17.6
6.41,0.0,0.447,6.482,32.1,4.1403,4.0,254.0,17.6
3.33,0.0,0.4429,6.812,32.2,4.1007,5.0,216.0,14.9
3.33,0.0,0.4429,7.82,64.5,4.6947,5.0,216.0,14.9
3.33,0.0,0.4429,6.968,68.51851851851852,5.2447,5.0,216.0,14.9
3.33,1.0,0.4429,7.645,49.7,5.2119,5.0,216.0,14.9
1.21,1.0,0.401,7.922999999999999,24.8,5.885,1.0,198.0,13.6
2.97,0.0,0.4,7.087999999999999,20.8,7.3073,1.0,285.0,15.3
2.25,0.0,0.389,6.4529999999999985,31.9,7.3073,1.0,300.0,15.3
1.76,0.0,0.385,6.23,68.51851851851852,9.0892,1.0,241.0,18.2
5.32,0.0,0.405,6.209,31.3,7.3172,6.0,293.0,16.6
5.32,0.0,0.405,6.315,45.6,7.3172,6.0,293.0,16.6
5.32,0.0,0.405,6.565,22.9,7.3172,6.0,293.0,16.6
4.95,0.0,0.411,6.8610000000000015,27.9,5.1167,4.0,245.0,19.2
4.95,0.0,0.411,7.148,27.7,5.1167,4.0,245.0,19.2
11.083991769547325,0.0,0.411,6.63,23.4,5.1167,4.0,245.0,19.2
13.92,0.0,0.4370000000000001,6.127000000000002,18.4,5.5027,4.0,289.0,16.0
13.92,0.06995884773662553,0.4370000000000001,6.009,42.3,5.5027,4.0,289.0,16.0
13.92,0.0,0.4370000000000001,6.678,31.1,5.9604,4.0,289.0,16.0
13.92,0.0,0.4370000000000001,6.549,51.0,5.9604,4.0,289.0,16.0
11.083991769547325,0.0,0.4370000000000001,5.79,58.0,6.32,4.0,289.0,16.0
2.24,0.0,0.4,6.345,20.1,7.8278,5.0,358.0,14.8
2.24,0.0,0.4,7.041,10.0,7.8278,5.0,358.0,14.8
2.24,0.0,0.4,6.871,47.4,7.8278,5.0,358.0,14.8
6.09,0.0,0.433,6.59,40.4,5.4917,7.0,329.0,16.1
6.09,0.0,0.433,6.495,18.4,5.4917,7.0,329.0,16.1
6.09,0.0,0.433,6.982,17.7,5.4917,7.0,329.0,16.1
2.18,0.0,0.472,7.2360000000000015,41.1,4.022,7.0,222.0,18.4
11.083991769547325,0.0,0.472,6.6160000000000005,58.1,3.37,7.0,222.0,18.4
2.18,0.0,0.472,7.42,71.9,3.0992,7.0,222.0,18.4
2.18,0.0,0.472,6.849,70.3,3.1827,7.0,222.0,18.4
9.9,0.0,0.544,6.635,82.5,3.3175,4.0,304.0,18.4
9.9,0.0,0.544,5.972,76.7,3.1025,4.0,304.0,18.4
9.9,0.0,0.544,4.973,37.8,2.5194,4.0,304.0,18.4
9.9,0.0,0.544,6.122000000000001,52.8,2.6403,4.0,304.0,18.4
9.9,0.0,0.544,6.023,90.4,2.834,4.0,304.0,18.4
9.9,0.0,0.544,6.266,82.8,3.2628,4.0,304.0,18.4
9.9,0.0,0.544,6.567,87.3,3.6023,4.0,304.0,18.4
9.9,0.0,0.544,5.705,77.7,3.945,4.0,304.0,18.4
9.9,0.0,0.544,5.914,68.51851851851852,3.9986,4.0,304.0,18.4
9.9,0.0,0.544,5.782,71.7,4.0317,4.0,304.0,18.4
9.9,0.0,0.544,6.3820000000000014,67.2,3.5325,4.0,304.0,18.4
9.9,0.0,0.544,6.113,58.8,4.0019,4.0,304.0,18.4
7.38,0.0,0.493,6.426,52.3,4.5404,5.0,287.0,19.6
7.38,0.0,0.493,6.376,54.3,4.5404,5.0,287.0,19.6
7.38,0.0,0.493,6.041,49.9,4.7211,5.0,287.0,19.6
7.38,0.0,0.493,5.707999999999998,74.3,4.7211,5.0,287.0,19.6
7.38,0.0,0.493,6.415,40.1,4.7211,5.0,287.0,19.6
7.38,0.0,0.493,6.431,14.7,5.4159,5.0,287.0,19.6
7.38,0.0,0.493,6.312,28.9,5.4159,5.0,287.0,19.6
7.38,0.0,0.493,6.082999999999998,43.7,5.4159,5.0,287.0,19.6
3.24,0.0,0.46,5.8679999999999986,25.8,5.2146,4.0,430.0,16.9
3.24,0.0,0.46,6.332999999999998,17.2,5.2146,4.0,430.0,16.9
3.24,0.0,0.46,6.144,32.2,5.8736,4.0,430.0,16.9
6.06,0.0,0.4379,5.706,28.4,6.6407,1.0,304.0,16.9
6.06,0.0,0.4379,6.0310000000000015,23.3,6.6407,1.0,304.0,16.9
5.19,0.0,0.515,6.316,38.1,6.4584,5.0,224.0,20.2
5.19,0.0,0.515,6.31,38.5,6.4584,5.0,224.0,20.2
5.19,0.0,0.515,6.037000000000001,34.5,5.9853,5.0,224.0,20.2
5.19,0.0,0.515,5.869,46.3,5.2311,5.0,224.0,20.2
5.19,0.0,0.515,5.895,59.6,5.615,5.0,224.0,20.2
5.19,0.0,0.515,6.059,37.3,4.8122,5.0,224.0,20.2
5.19,0.0,0.515,5.985,45.4,4.8122,5.0,224.0,20.2
5.19,0.0,0.515,5.968,58.5,4.8122,5.0,224.0,20.2
1.52,0.0,0.442,7.241,49.3,7.0379,1.0,284.0,15.5
1.89,0.0,0.518,6.54,59.7,6.2669,1.0,422.0,15.9
3.78,0.0,0.484,6.6960000000000015,56.4,5.7321,5.0,370.0,17.6
11.083991769547325,0.0,0.484,6.874,28.1,6.4654,5.0,370.0,17.6
4.39,0.0,0.442,6.0139999999999985,48.5,8.0136,3.0,352.0,18.8
4.39,0.0,0.442,5.898,52.3,8.0136,3.0,352.0,18.8
4.15,0.0,0.429,6.516,27.7,8.5353,4.0,351.0,17.9
2.01,0.0,0.435,6.635,29.7,8.344,4.0,280.0,17.0
1.25,0.0,0.429,6.939,34.5,8.7921,1.0,335.0,19.7
1.25,0.0,0.429,6.49,44.4,8.7921,1.0,335.0,19.7
1.69,0.0,0.411,6.579,35.9,10.7103,4.0,411.0,18.3
1.69,0.0,0.411,5.884,18.5,10.7103,4.0,411.0,18.3
2.02,0.0,0.41,6.728,36.1,12.1265,5.0,187.0,17.0
1.91,0.0,0.413,5.6629999999999985,21.9,10.5857,4.0,334.0,22.0
